ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410V6YK	Growth factor independent	ENSPTRP00000036798	ENSMUSP00000135884, ENSMUSP00000128052
ENOG410V6YH	RAN member RAS oncogene family	ENSPTRP00000009585	ENSMUSP00000129559, ENSMUSP00000031383
ENOG410V6YI	Alanine-glyoxylate aminotransferase	ENSPTRP00000022452	ENSMUSP00000027491
ENOG410V6YN	Chemokine C-C motif receptor	ENSPTRP00000025598, ENSPTRP00000025595, ENSPTRP00000025398, ENSPTRP00000041484, ENSPTRP00000025599	ENSMUSP00000107069, ENSMUSP00000062677, ENSMUSP00000039107, ENSMUSP00000049909, ENSMUSP00000026911
ENOG410V6YB	ribosomal protein L5	ENSPTRP00000001659	ENSMUSP00000080854
ENOG410V6YF	Calmodulin binding transcription activator	ENSPTRP00000046817, ENSPTRP00000000189	ENSMUSP00000043792, ENSMUSP00000054804
ENOG410V6YE	Interleukin 10 receptor beta	ENSPTRP00000042740	ENSMUSP00000023691
ENOG410VBDY	zinc finger protein 777	ENSPTRP00000033977	ENSMUSP00000110230
ENOG410VBDX	FLYWCH-type zinc finger 1	ENSPTRP00000055775	ENSMUSP00000040022
ENOG410VBDQ	Proline rich 7 (Synaptic)	ENSPTRP00000030037	ENSMUSP00000046776
ENOG410VBDS	TBC1 domain family, member 16	ENSPTRP00000016558	ENSMUSP00000048516
ENOG410VBDT	exportin, tRNA	ENSPTRP00000050393	ENSMUSP00000043488
ENOG410VBDW	Leucine rich repeat containing 23	ENSPTRP00000007855	ENSMUSP00000032218
ENOG410VBDV	SPHK1 interactor, AKAP domain containing	ENSPTRP00000055619	ENSMUSP00000124872
ENOG410VBDI	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	ENSPTRP00000012400	ENSMUSP00000126531
ENOG410VBDJ	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	ENSPTRP00000024210	ENSMUSP00000004222
ENOG410VBDM	gamma-aminobutyric acid (GABA) A receptor, theta	ENSPTRP00000038564	ENSMUSP00000033711
ENOG410VBDN	UPF3 regulator of nonsense transcripts homolog	ENSPTRP00000061197, ENSPTRP00000038268	ENSMUSP00000075614, ENSMUSP00000037354
ENOG410VBDC	Proline synthetase co-transcribed homolog (Bacterial)	ENSPTRP00000034513	ENSMUSP00000033875
ENOG410VBDB	iron-sulfur cluster scaffold homolog (E. coli)	ENSPTRP00000060658, ENSPTRP00000009171	ENSMUSP00000026937
ENOG410VBDD	potassium inwardly-rectifying channel, subfamily J, member 13	ENSPTRP00000040287	ENSMUSP00000108838
ENOG410VBDF	A kinase (PRKA) interacting protein 1	ENSPTRP00000005835	ENSMUSP00000033335
ENOG410VBD9	HHIP-like	ENSPTRP00000011443, ENSPTRP00000003362	ENSMUSP00000021685, ENSMUSP00000070719
ENOG410VBD8	polyA-specific ribonuclease	ENSPTRP00000013293	ENSMUSP00000055969
ENOG410VBD0	Mitochondrial ribosomal protein S27	ENSPTRP00000029066	ENSMUSP00000062326
ENOG410VBD3	dual specificity phosphatase 13	ENSPTRP00000039811	ENSMUSP00000113305
ENOG410VBD2	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity)	ENSPTRP00000028847	ENSMUSP00000106318
ENOG410VBD5	sorting and assembly machinery component 50 homolog (S. cerevisiae)	ENSPTRP00000024956	ENSMUSP00000023071
ENOG410VBD4	Phosphoinositide kinase, FYVE finger containing	ENSPTRP00000021995	ENSMUSP00000079926
ENOG410VBD7	nuclear assembly factor 1 homolog (S. cerevisiae)	ENSPTRP00000028425	ENSMUSP00000112640
ENOG410VF86	cornichon homolog 4 (Drosophila)	ENSPTRP00000003397	ENSMUSP00000115772
ENOG410V5P1	inositol polyphosphate-5-phosphatase, 40kDa	ENSPTRP00000045638	ENSMUSP00000026550
ENOG410VBP2	Transmembrane protein 115	ENSPTRP00000025830	ENSMUSP00000010189
ENOG410V5PA	TNFAIP3 interacting protein 2	ENSPTRP00000027299	ENSMUSP00000085030
ENOG410V5PE	interleukin 17 receptor A	ENSPTRP00000024164	ENSMUSP00000002976
ENOG410VHMM	Involved in nonsense-mediated mRNA decay (NMD) by acting as a bridge between the mRNA decapping complex and the NMD machinery. May act by targeting the NMD machinery to the P-body and recruiting the decapping machinery to aberrant mRNAs. Required for upf1 rent1 localization to the P-body. Also acts as a nuclear receptor coactivator	ENSPTRP00000045006	ENSMUSP00000030436
ENOG410VHMN	Translocase of outer mitochondrial membrane 20 homolog (yeast)	ENSPTRP00000003595	ENSMUSP00000136493
ENOG410VHMH	CD8a molecule	ENSPTRP00000020853	ENSMUSP00000068123
ENOG410VHMI	Nudix (Nucleoside diphosphate linked moiety X)-type motif 1	ENSPTRP00000032197	ENSMUSP00000059983
ENOG410VHMJ	Placenta-specific 1-like	ENSPTRP00000006381	ENSMUSP00000065120
ENOG410VHMF	Cold inducible RNA binding protein	ENSPTRP00000017326	ENSMUSP00000101004
ENOG410VHMG	DnaJ (Hsp40) homolog, subfamily C, member 15	ENSPTRP00000009927	ENSMUSP00000022590
ENOG410VHMB	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)	ENSPTRP00000013471	ENSMUSP00000033157
ENOG410VHMC	Dual specificity phosphatase 28	ENSPTRP00000022435	ENSMUSP00000057690
ENOG410VHMX	Chromosome 20 open reading frame 173	ENSPTRP00000052229	ENSMUSP00000105246
ENOG410VHMY	Hemoglobin	ENSPTRP00000012857	ENSMUSP00000020531
ENOG410VHMZ	killer cell lectin-like receptor subfamily B member	ENSPTRP00000007958	ENSMUSP00000071342, ENSMUSP00000032257, ENSMUSP00000107738
ENOG410VHMT	chromosome 19 open reading frame 80	ENSPTRP00000017899	ENSMUSP00000058951
ENOG410VHMU	EP300 interacting inhibitor of differentiation	ENSPTRP00000060444	ENSMUSP00000062345
ENOG410VHMP	butyrophilin-like 10	ENSPTRP00000057254	ENSMUSP00000020792
ENOG410VHM8	signal recognition particle	ENSPTRP00000029328	ENSMUSP00000072386
ENOG410VHM4	keratin associated protein 27-1	ENSPTRP00000060074	ENSMUSP00000129289
ENOG410VHM5	follicle stimulating hormone, beta polypeptide	ENSPTRP00000006017	ENSMUSP00000028533
ENOG410VHM6	chromosome 16 open reading frame 87	ENSPTRP00000013799	ENSMUSP00000040975
ENOG410VN5F	In the hair cortex, hair keratin intermediate filaments are embedded in an interfilamentous matrix, consisting of hair keratin-associated proteins (KRTAP), which are essential for the formation of a rigid and resistant hair shaft through their extensive disulfide bond cross-linking with abundant cysteine residues of hair keratins. The matrix proteins include the high- sulfur and high-glycine-tyrosine keratins	ENSPTRP00000024072	ENSMUSP00000074876, ENSMUSP00000090025, ENSMUSP00000135962, ENSMUSP00000090024, ENSMUSP00000137358
ENOG410VIDR	Gastric inhibitory polypeptide	ENSPTRP00000015919	ENSMUSP00000099445
ENOG410V5KG	R-spondin 4	ENSPTRP00000022516	ENSMUSP00000041578
ENOG410V8HF	ankyrin repeat and SOCS box containing 3	ENSPTRP00000020462	ENSMUSP00000020551
ENOG410V8HE	Nuclear receptor interacting protein 3	ENSPTRP00000005840	ENSMUSP00000033331
ENOG410V8HD	tetraspanin	ENSPTRP00000008758, ENSPTRP00000032378	ENSMUSP00000020896, ENSMUSP00000057751
ENOG410V8HC	selenoprotein	ENSPTRP00000049590	ENSMUSP00000081020
ENOG410V8HA	widely interspaced zinc finger motifs	ENSPTRP00000018130	ENSMUSP00000069443
ENOG410V8HM	kiaa1958	ENSPTRP00000040724	ENSMUSP00000062493
ENOG410V8HK	Coiled-coil domain containing 13	ENSPTRP00000025513	ENSMUSP00000114787
ENOG410V8HJ	This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand (By similarity)	ENSPTRP00000022674	ENSMUSP00000137596, ENSMUSP00000028817
ENOG410V8HH	forkhead box S1	ENSPTRP00000022912	ENSMUSP00000096806
ENOG410V8HW	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	ENSPTRP00000003199, ENSPTRP00000008798	ENSMUSP00000054126, ENSMUSP00000020316
ENOG410V8HV	tRNA methyltransferase 61 homolog A (S. cerevisiae)	ENSPTRP00000011530	ENSMUSP00000082011
ENOG410V8HU	Chemokine C-X-C motif receptor 4	ENSPTRP00000021386	ENSMUSP00000053489
ENOG410V8HT	Integrin-linked kinase-associated serine threonine phosphatase	ENSPTRP00000022396	ENSMUSP00000027534
ENOG410V8HR	extended synaptotagmin-like protein	ENSPTRP00000008642	ENSMUSP00000026427
ENOG410V8HQ	Nuclear prelamin A recognition	ENSPTRP00000012917, ENSPTRP00000016680	ENSMUSP00000099304, ENSMUSP00000002350
ENOG410V8HP	ATR interacting protein	ENSPTRP00000025685	ENSMUSP00000044831
ENOG410V8HZ	ATP-binding cassette, subfamily C (CFTR MRP), member 10	ENSPTRP00000031100	ENSMUSP00000131843
ENOG410V8HY	POU class 4 homeobox	ENSPTRP00000028307, ENSPTRP00000029696, ENSPTRP00000000774	ENSMUSP00000060798, ENSMUSP00000025374, ENSMUSP00000034115
ENOG410V8HX	suppressor of variegation 4-20 homolog	ENSPTRP00000019781, ENSPTRP00000058287	ENSMUSP00000096452, ENSMUSP00000109605
ENOG410V8H7	betaine-homocysteine S-methyltransferase	ENSPTRP00000029151, ENSPTRP00000029150	ENSMUSP00000015941, ENSMUSP00000135956, ENSMUSP00000096912
ENOG410V8H6	N-acetylglucosamine kinase	ENSPTRP00000020669	ENSMUSP00000042026
ENOG410V8H5	solute carrier family 25 (mitochondrial carrier)	ENSPTRP00000016633	ENSMUSP00000026899
ENOG410V8H4	Nucleoside diphosphate kinase	ENSPTRP00000025673	ENSMUSP00000035053
ENOG410V8H3	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	ENSPTRP00000025010	ENSMUSP00000023019
ENOG410V8H2	RAS p21 protein activator (GTPase activating protein) 1	ENSPTRP00000029205	ENSMUSP00000105179
ENOG410V8H1	ddb1 and cul4 associated factor	ENSPTRP00000002595	ENSMUSP00000073778
ENOG410V8H0	Breast cancer metastasis suppressor 1	ENSPTRP00000006754	ENSMUSP00000112266
ENOG410V8H9	histocompatibility (minor) 13	ENSPTRP00000022897	ENSMUSP00000086460
ENOG410V8H8	tafazzin	ENSPTRP00000038670	ENSMUSP00000109818
ENOG410VBPB	Cysteine dioxygenase type I	ENSPTRP00000029348	ENSMUSP00000046517
ENOG410VD78	Transmembrane 6 superfamily member	ENSPTRP00000057918, ENSPTRP00000051320	ENSMUSP00000046114, ENSMUSP00000038017
ENOG410VD71	Ring finger protein 39	ENSPTRP00000054045	ENSMUSP00000037860
ENOG410VD76	Zinc finger protein	ENSPTRP00000033320	ENSMUSP00000041796
ENOG410VD77	sterile alpha motif domain containing 15	ENSPTRP00000041276	ENSMUSP00000126421
ENOG410VD74	BC1 (ubiquinol-cytochrome c reductase) synthesis-like	ENSPTRP00000042397	ENSMUSP00000027358
ENOG410VD7X	microsomal triglyceride transfer protein	ENSPTRP00000043154	ENSMUSP00000096179
ENOG410VD7S	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C	ENSPTRP00000008967	ENSMUSP00000020039
ENOG410VD7V	transmembrane epididymal protein	ENSPTRP00000051446	ENSMUSP00000058437, ENSMUSP00000062098
ENOG410VD7K	NADP-dependent oxidoreductase domain containing 1	ENSPTRP00000011175	ENSMUSP00000021423
ENOG410VD7I	interleukin-1 receptor-associated kinase 3	ENSPTRP00000008814	ENSMUSP00000020448
ENOG410VD7A	Neuropeptide S receptor 1	ENSPTRP00000048060	ENSMUSP00000056432
ENOG410VD7D	Cysteinyl leukotriene receptor 1	ENSPTRP00000037934	ENSMUSP00000063520
ENOG410VD7E	centrosomal protein 44kDa	ENSPTRP00000028491	ENSMUSP00000042586
ENOG410WIN3	Solute carrier family 46 member 2	ENSPTRP00000036328	ENSMUSP00000030081
ENOG410WINI	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. Could also have a single-stranded nucleic acid-binding activity and could play a role in RNA and or DNA metabolism. It may also have a role in the development of malignancy and the growth progression of some tumors (By similarity)	ENSPTRP00000033661	ENSMUSP00000077289
ENOG410WINA	Methyltransferase like 21B	ENSPTRP00000008763	ENSMUSP00000111939
ENOG410WING	methyltransferase like 23	ENSPTRP00000016475	ENSMUSP00000101978
ENOG410WINF	Methyltransferase like 21D	ENSPTRP00000010722	ENSMUSP00000055002
ENOG410VIYF	Family with sequence similarity 174, member A	ENSPTRP00000029281	ENSMUSP00000057670
ENOG410VIY7	chromosome 7 open reading frame 53	ENSPTRP00000033566	ENSMUSP00000093434
ENOG410VIY6	selenoprotein M	ENSPTRP00000057717	ENSMUSP00000092041
ENOG410V5ZD	Kelch-like 12 (Drosophila)	ENSPTRP00000003115	ENSMUSP00000107851
ENOG410VAMV	interleukin 4 receptor	ENSPTRP00000013524	ENSMUSP00000033004
ENOG410VSMN	Plays a role as a receptor for the recognition of MHC class I HLA-E molecules by NK cells and some cytotoxic T-cells	ENSPTRP00000007993, ENSPTRP00000007991	ENSMUSP00000107688, ENSMUSP00000071147
ENOG410WGD0	Ras association (RalGDS AF-6) domain family member 1	ENSPTRP00000043227	ENSMUSP00000091301
ENOG410WGDS	Integrin, alpha	ENSPTRP00000013737	ENSMUSP00000033053, ENSMUSP00000101849
ENOG410WGDQ	integrin, alpha 11	ENSPTRP00000012347	ENSMUSP00000034774
ENOG410WGDP	Integrin alpha 1	ENSPTRP00000028883	ENSMUSP00000077132
ENOG410WGDU	Integrin, alpha	ENSPTRP00000008606, ENSPTRP00000043669	ENSMUSP00000096712
ENOG410WGDK	Glycosylphosphatidylinositol specific phospholipase D1	ENSPTRP00000030352	ENSMUSP00000021773
ENOG410WGDJ	Integrin, alpha 4 (Antigen CD49D, alpha 4 subunit of VLA-4 receptor)	ENSPTRP00000021717	ENSMUSP00000099718
ENOG410WGDN	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	ENSPTRP00000015942	ENSMUSP00000001548
ENOG410VAWZ	endoplasmic reticulum protein 29	ENSPTRP00000009282	ENSMUSP00000117347
ENOG410V7N7	ENTH domain containing 1	ENSPTRP00000024814	ENSMUSP00000094072
ENOG410V7N2	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	ENSPTRP00000026151	ENSMUSP00000109997
ENOG410V7N3	serine palmitoyltransferase, long chain base subunit 1	ENSPTRP00000039282	ENSMUSP00000021920
ENOG410V7N0	Poly(A) binding protein, nuclear 1	ENSPTRP00000010457, ENSPTRP00000010458	ENSMUSP00000022808, ENSMUSP00000117229, ENSMUSP00000022806
ENOG410V7N1	leucine rich repeat containing 6	ENSPTRP00000035210	ENSMUSP00000023006
ENOG410V7N8	ADAM metallopeptidase with thrombospondin type 1 motif	ENSPTRP00000029429	ENSMUSP00000050535
ENOG410V7N9	centriolar coiled coil protein 110kDa	ENSPTRP00000013374	ENSMUSP00000038881
ENOG410V7NF	Dynein, axonemal heavy chain	ENSPTRP00000057387, ENSPTRP00000052909	ENSMUSP00000081867, ENSMUSP00000079494, ENSMUSP00000046733, ENSMUSP00000081864
ENOG410V7NG	NAD-dependent lysine demalonylase and desuccinylase that specifically removes malonyl and succinyl groups on target proteins. Activates CPS1 and contributes to the regulation of blood ammonia levels during prolonged fasting acts by mediating desuccinylation of CPS1, thereby increasing CPS1 activity in response to elevated NAD levels during fasting. Has weak NAD- dependent protein deacetylase activity	ENSPTRP00000030283	ENSMUSP00000071048
ENOG410V7ND	inhibin, beta	ENSPTRP00000049216, ENSPTRP00000032655	ENSMUSP00000044918, ENSMUSP00000047894
ENOG410V7NE	jumonji domain containing 6	ENSPTRP00000016473	ENSMUSP00000047570
ENOG410V7NB	Cytochrome P450, family 21, subfamily A, polypeptide 2	ENSPTRP00000061176	ENSMUSP00000025223
ENOG410V7NC	phosphodiesterase	ENSPTRP00000012657, ENSPTRP00000029126	ENSMUSP00000124068, ENSMUSP00000026672
ENOG410V7NA	protocadherin 20	ENSPTRP00000010060	ENSMUSP00000054774
ENOG410V7NN	spindle assembly 6 homolog (C. elegans)	ENSPTRP00000001717	ENSMUSP00000029571
ENOG410V7NM	neuropilin 2	ENSPTRP00000021954	ENSMUSP00000109794
ENOG410V7NJ	TOX high mobility group box family member 4	ENSPTRP00000010395	ENSMUSP00000022766, ENSMUSP00000136559
ENOG410V7NH	Versican	ENSPTRP00000029197	ENSMUSP00000105173
ENOG410V7NI	Oxidase (Cytochrome c) assembly 1-like	ENSPTRP00000052784	ENSMUSP00000000985
ENOG410V7NV	Polycystic kidney disease	ENSPTRP00000027941, ENSPTRP00000005000, ENSPTRP00000048012	ENSMUSP00000084041, ENSMUSP00000045675, ENSMUSP00000014647
ENOG410V7NT	Bromodomain containing 8	ENSPTRP00000029549	ENSMUSP00000003876
ENOG410V7NU	parathyroid hormone	ENSPTRP00000021236, ENSPTRP00000025621, ENSPTRP00000021998	ENSMUSP00000072660, ENSMUSP00000027083, ENSMUSP00000006005
ENOG410V7NS	Exocyst complex component	ENSPTRP00000028608	ENSMUSP00000039416
ENOG410V7NP	unc51-like kinase	ENSPTRP00000042372	ENSMUSP00000004920, ENSMUSP00000031490
ENOG410V7NQ	nidogen 1	ENSPTRP00000003607	ENSMUSP00000005532
ENOG410V7NZ	ATPase, H transporting, lysosomal 31kDa, V1 subunit	ENSPTRP00000020416	ENSMUSP00000065285, ENSMUSP00000019354
ENOG410V7NX	kiaa1033	ENSPTRP00000049932	ENSMUSP00000039322
ENOG410V7NY	Retinoblastoma binding protein 5	ENSPTRP00000057559	ENSMUSP00000027700
ENOG410V45E	Spectrin beta	ENSPTRP00000002543, ENSPTRP00000046250, ENSPTRP00000041211, ENSPTRP00000051593, ENSPTRP00000044450, ENSPTRP00000048712	ENSMUSP00000006629, ENSMUSP00000021458, ENSMUSP00000011895, ENSMUSP00000109348, ENSMUSP00000115974, ENSMUSP00000008991, ENSMUSP00000027817
ENOG410V45F	FANCD2 FANCI-associated nuclease 1	ENSPTRP00000011713	ENSMUSP00000130012
ENOG410VCSE	WD repeat domain 53	ENSPTRP00000027159	ENSMUSP00000023474
ENOG410VCSD	chromosome 11 open reading frame 73	ENSPTRP00000046544	ENSMUSP00000119806
ENOG410VCSG	scavenger receptor class A member 3	ENSPTRP00000034424	ENSMUSP00000046525
ENOG410VCSM	Centromere protein I	ENSPTRP00000038022	ENSMUSP00000079851
ENOG410VCSN	chromosome 8 open reading frame 48	ENSPTRP00000034254	ENSMUSP00000096424
ENOG410VCSJ	PROP paired-like homeobox 1	ENSPTRP00000030054	ENSMUSP00000057231
ENOG410VCSU	Usher syndrome 1C binding protein 1	ENSPTRP00000018197	ENSMUSP00000045668
ENOG410VCST	keratin 23 (histone deacetylase inducible)	ENSPTRP00000015574	ENSMUSP00000006969
ENOG410VCSV	epithelial stromal interaction 1 (breast)	ENSPTRP00000059239	ENSMUSP00000022591
ENOG410VCSQ	Rho GDP dissociation inhibitor (GDI)	ENSPTRP00000053824, ENSPTRP00000008071, ENSPTRP00000016637	ENSMUSP00000063714, ENSMUSP00000025019, ENSMUSP00000032344
ENOG410VCSS	Alpha-2-glycoprotein 1, zinc-binding	ENSPTRP00000033312	ENSMUSP00000038559
ENOG410VCSY	DnaJ (Hsp40) homolog, subfamily C, member 13	ENSPTRP00000026541	ENSMUSP00000035170
ENOG410VCS5	solute carrier family 24 (sodium lithium calcium exchanger), member 6	ENSPTRP00000009315	ENSMUSP00000064714
ENOG410VCS4	Immunity-related GTPase family, M	ENSPTRP00000060955	ENSMUSP00000050446
ENOG410VCS9	Unc-45 homolog	ENSPTRP00000012761, ENSPTRP00000015378	ENSMUSP00000018989, ENSMUSP00000032748
ENOG410VCS8	Sprouty homolog 2 (Drosophila)	ENSPTRP00000010120	ENSMUSP00000022709
ENOG410V450	vacuolar protein sorting 4 homolog	ENSPTRP00000017128, ENSPTRP00000053458	ENSMUSP00000092230, ENSMUSP00000034388
ENOG410V455	oxytocin receptor	ENSPTRP00000025138	ENSMUSP00000051132
ENOG410VHVN	Ribosomal protein S12	ENSPTRP00000018769	ENSMUSP00000062066
ENOG410VHVJ	vimentin-type intermediate filament associated coiled-coil protein	ENSPTRP00000017606	ENSMUSP00000064120
ENOG410VHVG	zinc finger, HIT-type containing 3	ENSPTRP00000015423	ENSMUSP00000099484
ENOG410VHVF	zinc finger, SWIM-type containing 7	ENSPTRP00000057639	ENSMUSP00000072688
ENOG410VHVZ	CKLF-like MARVEL transmembrane domain containing 1	ENSPTRP00000013996	ENSMUSP00000124855
ENOG410VHVT	arginine vasopressin-induced 1	ENSPTRP00000004938	ENSMUSP00000018965
ENOG410VHVW	germinal center-associated, signaling and motility	ENSPTRP00000026247	ENSMUSP00000123853
ENOG410VHV6	calmodulin-like 3	ENSPTRP00000003821	ENSMUSP00000076880
ENOG410VHV1	interleukin 21	ENSPTRP00000028194	ENSMUSP00000029273
ENOG410VHV3	chromosome 3 open reading frame 18	ENSPTRP00000040039	ENSMUSP00000047093
ENOG410VHV2	ribosomal protein L24	ENSPTRP00000026187, ENSPTRP00000003020	ENSMUSP00000130323
ENOG410VBNU	Sel1 repeat containing 1	ENSPTRP00000001278	ENSMUSP00000114906
ENOG410VBNT	olfactory receptor, family 9, subfamily G, member	ENSPTRP00000006300	ENSMUSP00000097503
ENOG410VBN9	Neutrophil cytosolic factor 2	ENSPTRP00000002950	ENSMUSP00000027754
ENOG410WFN1	CD109 molecule	ENSPTRP00000031357, ENSPTRP00000007944	ENSMUSP00000032228
ENOG410WFN6	nidogen 2 (Osteonidogen)	ENSPTRP00000010754	ENSMUSP00000022340
ENOG410V4T7	Nucleoporin 155kDa	ENSPTRP00000028814	ENSMUSP00000128819
ENOG410V4T5	solute carrier family 12 (potassium chloride transporters), member 9	ENSPTRP00000047094	ENSMUSP00000038106
ENOG410V4T4	integrator complex subunit	ENSPTRP00000010016, ENSPTRP00000047251	ENSMUSP00000035379, ENSMUSP00000086788
ENOG410V4T3	receptor (chemosensory) transporter protein 1	ENSPTRP00000027052	ENSMUSP00000043416
ENOG410V4T2	WD repeat domain 37	ENSPTRP00000003785	ENSMUSP00000021572
ENOG410V4T0	Ankyrin repeat and SOCS box containing	ENSPTRP00000045975, ENSPTRP00000060304	ENSMUSP00000033756
ENOG410V4T9	Neurofilament	ENSPTRP00000024490, ENSPTRP00000053218, ENSPTRP00000005120	ENSMUSP00000041347, ENSMUSP00000022638, ENSMUSP00000091061, ENSMUSP00000022639
ENOG410V4TW	Leucine rich repeat containing 2	ENSPTRP00000025606	ENSMUSP00000035076
ENOG410V4TU	G- protein-coupled receptor	ENSPTRP00000031490, ENSPTRP00000021086	ENSMUSP00000039312, ENSMUSP00000110409
ENOG410V4TT	chaperonin containing Tcp1, subunit	ENSPTRP00000032821, ENSPTRP00000042602	ENSMUSP00000021040, ENSMUSP00000031402
ENOG410V4TS	zinc finger and SCAN domain containing 20	ENSPTRP00000040188	ENSMUSP00000095487
ENOG410V4TP	transient receptor potential cation channel subfamily m member	ENSPTRP00000019370, ENSPTRP00000012085, ENSPTRP00000056894, ENSPTRP00000024056, ENSPTRP00000011720	ENSMUSP00000037443, ENSMUSP00000082318, ENSMUSP00000101040, ENSMUSP00000099513, ENSMUSP00000084857, ENSMUSP00000040367
