ortholog	function	Mus_musculus	Rattus_norvegicus
ENOG410V6AH	Olfactory receptor	ENSMUSP00000060166, ENSMUSP00000071744, ENSMUSP00000060289, ENSMUSP00000100475, ENSMUSP00000095763, ENSMUSP00000095764, ENSMUSP00000095806	ENSRNOP00000023270, ENSRNOP00000021131, ENSRNOP00000044204, ENSRNOP00000031562, ENSRNOP00000048359, ENSRNOP00000064711, ENSRNOP00000023293
ENOG410V6AN	zinc finger, DHHC-type containing 12	ENSMUSP00000080521	ENSRNOP00000039802
ENOG410V6AM	coiled-coil glutamate-rich protein 1	ENSMUSP00000050554	ENSRNOP00000006455
ENOG410V6AR	regulator of G protein signaling 9 binding protein	ENSMUSP00000065511	ENSRNOP00000017172
ENOG410V6AS	chromosome 6 open reading frame 165	ENSMUSP00000103771	ENSRNOP00000045325
ENOG410V6AP	NADPH- oxidase	ENSMUSP00000024565, ENSMUSP00000033610, ENSMUSP00000015484	ENSRNOP00000022148, ENSRNOP00000031063, ENSRNOP00000065995
ENOG410V6AQ	solute carrier family 25 (mitochondrial folate carrier) , member 32	ENSMUSP00000022908	ENSRNOP00000006029
ENOG410V6AV	solute carrier family 10 (sodium bile acid cotransporter family), member 6	ENSMUSP00000031263	ENSRNOP00000002819
ENOG410V6AW	PTC7 protein phosphatase homolog (S. cerevisiae)	ENSMUSP00000051838	ENSRNOP00000030546
ENOG410V6AT	GTP binding protein overexpressed in skeletal muscle	ENSMUSP00000034351, ENSMUSP00000029868	ENSRNOP00000016259, ENSRNOP00000020826
ENOG410V6AU	dishevelled, dsh homolog	ENSMUSP00000003318, ENSMUSP00000019362, ENSMUSP00000030948	ENSRNOP00000024348, ENSRNOP00000026439
ENOG410VKF1	PET100 homolog (S. cerevisiae)	ENSMUSP00000137626	ENSRNOP00000067747
ENOG410VGWI	Olfactory receptor	ENSMUSP00000080248	ENSRNOP00000063955, ENSRNOP00000046730
ENOG410VGWK	zinc finger protein 787	ENSMUSP00000092468	ENSRNOP00000055847
ENOG410VBZ1	sh2 domain containing	ENSMUSP00000093699, ENSMUSP00000070825	ENSRNOP00000036389, ENSRNOP00000018543
ENOG410V7DM	ISY1 splicing factor homolog (S. cerevisiae)	ENSMUSP00000086923	ENSRNOP00000013571
ENOG410V7DI	Sphingomyelin phosphodiesterase 2, neutral membrane (Neutral sphingomyelinase)	ENSMUSP00000019965	ENSRNOP00000000336
ENOG410VEI4	glycoprotein integral membrane 1	ENSMUSP00000040961	ENSRNOP00000020811
ENOG410WCSW	kiaa1324	ENSMUSP00000040128	ENSRNOP00000027493
ENOG410WCSQ	matrilin 1, cartilage matrix protein	ENSMUSP00000099636	ENSRNOP00000014666
ENOG410WCSX	NEL-like 1	ENSMUSP00000080550	ENSRNOP00000052883
ENOG410VJH3	LYR motif containing 7	ENSMUSP00000118373	ENSRNOP00000065804
ENOG410VJH2	Gastrin-releasing peptide	ENSMUSP00000025395	ENSRNOP00000022845
ENOG410W1WG	Protein phosphatase 3 regulatory subunit B	ENSMUSP00000099944	ENSRNOP00000037143
ENOG410V8PM	forkhead box	ENSMUSP00000103929, ENSMUSP00000047951	ENSRNOP00000061358, ENSRNOP00000014672
ENOG410V8PK	chromosome 2 open reading frame 54	ENSMUSP00000035332	ENSRNOP00000030463
ENOG410V8PJ	golgin B1	ENSMUSP00000045239	ENSRNOP00000003255
ENOG410V8PI	cyclin G2	ENSMUSP00000031331	ENSRNOP00000002876
ENOG410V8PH	kruppel-like factor	ENSMUSP00000067680, ENSMUSP00000045639	ENSRNOP00000019367
ENOG410V8PG	elastin microfibril interfacer 2	ENSMUSP00000024849	ENSRNOP00000053111
ENOG410V8PE	Calcineurin binding protein 1	ENSMUSP00000001712	ENSRNOP00000001659
ENOG410V8PD	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase	ENSMUSP00000061610	ENSRNOP00000034561
ENOG410V8PC	G protein-coupled receptor 151	ENSMUSP00000058887	ENSRNOP00000043810
ENOG410V8PB	Testis expressed 10	ENSMUSP00000030030	ENSRNOP00000011401
ENOG410V8PA	UDP-GlcNAc beta-Gal beta-1,3-N-acetylglucosaminyltransferase	ENSMUSP00000095879, ENSMUSP00000034260	ENSRNOP00000025362, ENSRNOP00000043462
ENOG410V8PY	potassium channel tetramerisation domain containing 14	ENSMUSP00000060557	ENSRNOP00000016653
ENOG410V8PX	tektin 2 (testicular)	ENSMUSP00000030658	ENSRNOP00000014721
ENOG410V8PW	Solute carrier family 30	ENSMUSP00000053181, ENSMUSP00000042410	ENSRNOP00000050013, ENSRNOP00000006340
ENOG410V8PV	Neuroblastoma amplified sequence	ENSMUSP00000036082	ENSRNOP00000009779
ENOG410V8PU	Component of oligomeric Golgi complex 3	ENSMUSP00000045016	ENSRNOP00000000168
ENOG410V8PT	Interleukin 1 receptor accessory protein-like	ENSMUSP00000074917, ENSMUSP00000077915	ENSRNOP00000061591, ENSRNOP00000042441
ENOG410V8PS	Complement component 8, beta polypeptide	ENSMUSP00000031663	ENSRNOP00000010100
ENOG410V8PQ	profilin	ENSMUSP00000018437	ENSRNOP00000005370
ENOG410V8P9	cannabinoid receptor 1 (brain)	ENSMUSP00000055797	ENSRNOP00000010850
ENOG410V8P8	RUN domain containing 3A	ENSMUSP00000006750	ENSRNOP00000028487
ENOG410V8P7	Multiple PDZ domain protein	ENSMUSP00000099894	ENSRNOP00000051321
ENOG410V8P3	Cat eye syndrome chromosome region, candidate 5	ENSMUSP00000074775	ENSRNOP00000015090
ENOG410V8P2	Ras interacting protein 1	ENSMUSP00000062429	ENSRNOP00000034336
ENOG410V8P1	testis expressed 38	ENSMUSP00000102131	ENSRNOP00000013480
ENOG410V8P0	Lysozyme-like	ENSMUSP00000025076	ENSRNOP00000021901
ENOG410VP09	leukocyte specific transcript 1	ENSMUSP00000094949	ENSRNOP00000060414
ENOG410VF3I	interleukin 19	ENSMUSP00000016668	ENSRNOP00000036434
ENOG410VF3J	Chromosome 8 open reading frame 37	ENSMUSP00000079361	ENSRNOP00000065124, ENSRNOP00000034206
ENOG410VF3N	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	ENSMUSP00000046302	ENSRNOP00000006197
ENOG410VF3C	Transmembrane protein 169	ENSMUSP00000027380	ENSRNOP00000021539
ENOG410VF3E	mitochondrial ribosomal protein L1	ENSMUSP00000037046	ENSRNOP00000002834, ENSRNOP00000036682
ENOG410VF3G	solute carrier family 16, member 11 (monocarboxylic acid transporter 11)	ENSMUSP00000091597	ENSRNOP00000025372
ENOG410VF3P	ceroid-lipofuscinosis, neuronal 3	ENSMUSP00000032962	ENSRNOP00000025898
ENOG410VF3R	Transmembrane protein 176B	ENSMUSP00000098972	ENSRNOP00000011327
ENOG410VF3T	Zinc finger protein 804B	ENSMUSP00000130571	ENSRNOP00000044493
ENOG410VF3V	Olfactory receptor	ENSMUSP00000050705	ENSRNOP00000016702
ENOG410VF3W	As a result of hemolysis, hemoglobin is found to accumulate in the kidney and is secreted in the urine. Haptoglobin captures, and combines with free plasma hemoglobin to allow hepatic recycling of heme iron and to prevent kidney damage. Haptoglobin also acts as an antioxidant, has antibacterial activity and plays a role in modulating many aspects of the acute phase response. Hemoglobin haptoglobin complexes are rapidely cleared by the macrophage CD163 scavenger receptor expressed on the surface of liver Kupfer cells through an endocytic lysosomal degradation pathway (By similarity)	ENSMUSP00000074436	ENSRNOP00000049003
ENOG410VF39	RAP1, GTP-GDP dissociation stimulator 1	ENSMUSP00000096173	ENSRNOP00000021457
ENOG410VF30	PML-RARA regulated adaptor molecule 1	ENSMUSP00000057065	ENSRNOP00000056752
ENOG410VF31	olfactory receptor, family 4, subfamily L, member 1	ENSMUSP00000129254, ENSMUSP00000074546	ENSRNOP00000016643
ENOG410VF35	Centromere protein M	ENSMUSP00000086560	ENSRNOP00000033005
ENOG410VMHN	DPH3, KTI11 homolog (S. cerevisiae)	ENSMUSP00000022461	ENSRNOP00000026742
ENOG410WIFS	jumonji, AT rich interactive domain 2	ENSMUSP00000037774	ENSRNOP00000067055
ENOG410WIFU	Aminoadipate-semialdehyde dehydrogenase	ENSMUSP00000069279	ENSRNOP00000002907
ENOG410WIFF	Guanidinoacetate N-methyltransferase	ENSMUSP00000101002	ENSRNOP00000036927
ENOG410WIFH	Enoyl-CoA delta isomerase 1	ENSMUSP00000024946	ENSRNOP00000011784
ENOG410WIF8	PERQ amino acid-rich with GYF domain-containing protein	ENSMUSP00000031727	ENSRNOP00000001912
ENOG410VIQA	Centromere protein A	ENSMUSP00000122831	ENSRNOP00000012512
ENOG410VIQC	U11-48K-like CHHC zinc finger	ENSMUSP00000068158	ENSRNOP00000052149
ENOG410VIQJ	Protein phosphatase 1, regulatory (Inhibitor) subunit 14B	ENSMUSP00000064129	ENSRNOP00000040750
ENOG410VIQU	synovial sarcoma, X	ENSMUSP00000111247, ENSMUSP00000100066, ENSMUSP00000100068, ENSMUSP00000037624, ENSMUSP00000086787, ENSMUSP00000099213, ENSMUSP00000023931, ENSMUSP00000111223, ENSMUSP00000086792, ENSMUSP00000111225, ENSMUSP00000121642, ENSMUSP00000111236, ENSMUSP00000072395	ENSRNOP00000037344, ENSRNOP00000064611
ENOG410VIQ4	Hemoglobin, theta 1	ENSMUSP00000098936	ENSRNOP00000041451
ENOG410VCIG	Palmitoyl-protein thioesterase 1	ENSMUSP00000030412	ENSRNOP00000017998
ENOG410VCIR	radial spoke 3 homolog (Chlamydomonas)	ENSMUSP00000024572, ENSMUSP00000095034	ENSRNOP00000063027
ENOG410VGBR	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	ENSMUSP00000109653	ENSRNOP00000043432
ENOG410VGBC	zinc finger protein 92	ENSMUSP00000033740	ENSRNOP00000066115
ENOG410VGB0	Neurogenin 1	ENSMUSP00000050484	ENSRNOP00000015916
ENOG410WIVP	par-3 partitioning defective 3 homolog B (C. elegans)	ENSMUSP00000074837	ENSRNOP00000039831
ENOG410WFV2	ring finger protein 8, E3 ubiquitin protein ligase	ENSMUSP00000024817	ENSRNOP00000059852
ENOG410VEZW	chromosome 1 open reading frame 170	ENSMUSP00000101197	ENSRNOP00000027476
ENOG410VID9	Peptidyl-prolyl cis-trans isomerase	ENSMUSP00000037206, ENSMUSP00000020964	ENSRNOP00000067023, ENSRNOP00000012608
ENOG410VID3	natriuretic peptide C	ENSMUSP00000027449	ENSRNOP00000025582
ENOG410VID0	polymerase (DNA directed), epsilon 3, accessory subunit	ENSMUSP00000030091	ENSRNOP00000020722, ENSRNOP00000006416
ENOG410VID1	TEN1 telomerase capping complex subunit homolog (S. cerevisiae)	ENSMUSP00000021130	ENSRNOP00000032690
ENOG410VID6	Transmembrane protein 52	ENSMUSP00000136919	ENSRNOP00000022286
ENOG410VID7	Spindle and kinetochore associated complex subunit	ENSMUSP00000020794	ENSRNOP00000033780
ENOG410VID4	vesicle-associated membrane protein 4	ENSMUSP00000051544	ENSRNOP00000004243
ENOG410VID5	Ribosomal protein S14	ENSMUSP00000120075	ENSRNOP00000003460
ENOG410VIDZ	Morf4 family associated protein 1	ENSMUSP00000067135, ENSMUSP00000137136	ENSRNOP00000008121
ENOG410VIDY	CD7 molecule	ENSMUSP00000026159	ENSRNOP00000051817
ENOG410VIDW	protein (peptidyl-prolyl cis trans isomerase) NIMA-interacting, 4 (parvulin)	ENSMUSP00000109257	ENSRNOP00000067375
ENOG410VIDT	tachykinin 3	ENSMUSP00000026466	ENSRNOP00000005679
ENOG410VIDN	Chromosome 9 open reading frame 116	ENSMUSP00000083557	ENSRNOP00000013473
ENOG410VIDF	Cystatin E M	ENSMUSP00000025764	ENSRNOP00000027727
ENOG410VIDE	Transmembrane protein 230	ENSMUSP00000028816	ENSRNOP00000028886
ENOG410V90V	heat shock 22kDa protein 8	ENSMUSP00000037007	ENSRNOP00000033432
ENOG410V90W	Olfactory receptor	ENSMUSP00000132942, ENSMUSP00000079060, ENSMUSP00000133780, ENSMUSP00000080193, ENSMUSP00000080589, ENSMUSP00000062434, ENSMUSP00000077542	ENSRNOP00000044270, ENSRNOP00000050163, ENSRNOP00000065802, ENSRNOP00000051065, ENSRNOP00000047204, ENSRNOP00000067852, ENSRNOP00000065401
ENOG410V90T	suppressor of cytokine signaling 7	ENSMUSP00000040896	ENSRNOP00000014943
ENOG410V90U	Eukaryotic translation initiation factor 2B, subunit 2 beta	ENSMUSP00000004910	ENSRNOP00000008730
ENOG410V90R	TBC1 domain family, member 5	ENSMUSP00000024717	ENSRNOP00000014171
ENOG410V90P	ribosomal modification protein rimK-like family member	ENSMUSP00000058996, ENSMUSP00000064467	ENSRNOP00000011586, ENSRNOP00000052301, ENSRNOP00000028923
ENOG410V90Q	Rab interacting lysosomal protein-like 2	ENSMUSP00000031347	ENSRNOP00000001403
ENOG410V90Z	zinc finger protein 498	ENSMUSP00000091664	ENSRNOP00000038864
ENOG410V90X	enoyl-CoA delta isomerase 2	ENSMUSP00000131735, ENSMUSP00000021853	ENSRNOP00000050206, ENSRNOP00000022022
ENOG410V90F	Chromosome 16 open reading frame 72	ENSMUSP00000023150	ENSRNOP00000062957, ENSRNOP00000003439
ENOG410V90C	transmembrane emp24-like trafficking protein 10 (yeast)	ENSMUSP00000037583	ENSRNOP00000010512
ENOG410V90A	Ankyrin repeat domain 42	ENSMUSP00000113767	ENSRNOP00000062031
ENOG410V90M	ring finger protein 125, E3 ubiquitin protein ligase	ENSMUSP00000058251	ENSRNOP00000021136
ENOG410V90J	f-box protein 9	ENSMUSP00000001402	ENSRNOP00000010961
ENOG410V90K	Acyl-CoA binding domain containing 6	ENSMUSP00000049124	ENSRNOP00000004772
ENOG410V90H	BRCA1-associated ATM activator 1	ENSMUSP00000036016	ENSRNOP00000059762
ENOG410V90I	Nuclear apoptosis inducing factor 1	ENSMUSP00000048764	ENSRNOP00000064971
ENOG410V906	Myb SANT-like DNA-binding domain containing 4 with coiled-coils	ENSMUSP00000038267	ENSRNOP00000030251
ENOG410V907	Leukocyte receptor cluster (LRC) member 8	ENSMUSP00000046465	ENSRNOP00000025338
ENOG410V904	regulation of protein glycosylation	ENSMUSP00000061489	ENSRNOP00000032995
ENOG410V905	C-type lectin domain family 18, member	ENSMUSP00000046546	ENSRNOP00000067448
ENOG410V902	ribophorin I	ENSMUSP00000032143	ENSRNOP00000066002
ENOG410V903	olfactory receptor, family 10, subfamily J, member 3	ENSMUSP00000053317	ENSRNOP00000039512
ENOG410V900	melanoma antigen, family B	ENSMUSP00000085460	ENSRNOP00000034674
ENOG410V901	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase	ENSMUSP00000093622	ENSRNOP00000031347
ENOG410V908	Cdk5 and Abl enzyme substrate	ENSMUSP00000129463, ENSMUSP00000104519	ENSRNOP00000017187, ENSRNOP00000008279
ENOG410V909	leucine-rich repeat, immunoglobulin-like and transmembrane domains 2	ENSMUSP00000056642	ENSRNOP00000035539
ENOG410VE55	Lysophosphatidylglycerol acyltransferase 1	ENSMUSP00000106480	ENSRNOP00000062474
ENOG410VE54	kiaa0141	ENSMUSP00000025314	ENSRNOP00000026273
ENOG410VE56	RAB28, member RAS oncogene family	ENSMUSP00000031011	ENSRNOP00000050260
ENOG410VE51	KAT8 regulatory NSL complex subunit 1-like	ENSMUSP00000063843	ENSRNOP00000063526
ENOG410VE50	phospholipase C, zeta 1	ENSMUSP00000032356	ENSRNOP00000011376
ENOG410VE53	SAC3 domain containing 1	ENSMUSP00000109161	ENSRNOP00000028509
ENOG410VE59	Component of the LUBAC complex which conjugates linear polyubiquitin chains in a head-to-tail manner to substrates and plays a key role in NF-kappa-B activation and regulation of inflammation. LUBAC conjugates linear polyubiquitin to IKBKG and RIPK1 and is involved in activation of the canonical NF-kappa-B and the JNK signaling pathways. Linear ubiquitination mediated by the LUBAC complex interferes with TNF-induced cell death and thereby prevents inflammation. LUBAC is proposed to be recruited to the TNF-R1 signaling complex (TNF-RSC) following polyubiquitination of TNF-RSC components by BIRC2 and or BIRC3 and to conjugate linear polyubiquitin to IKBKG and possibly other components contributing to the stability of the complex	ENSMUSP00000023211	ENSRNOP00000018032
ENOG410VE5W	Unknown	ENSMUSP00000091745	ENSRNOP00000031709
ENOG410VE5V	mitochondrial ribosomal protein, L48	ENSMUSP00000116090	ENSRNOP00000024286
ENOG410VE5Q	Complement component 1, q subcomponent, A chain	ENSMUSP00000048836	ENSRNOP00000017385
ENOG410VE5P	Alstrom syndrome 1	ENSMUSP00000071904	ENSRNOP00000050674
ENOG410VE5Y	BPI fold containing family A, member 3	ENSMUSP00000028984	ENSRNOP00000018512
ENOG410VE5X	ES cell expressed Ras	ENSMUSP00000033500	ENSRNOP00000047699, ENSRNOP00000066895
ENOG410VE5E	NIPA-like domain containing 3	ENSMUSP00000099608	ENSRNOP00000059748
ENOG410VE5D	homeobox	ENSMUSP00000001700, ENSMUSP00000001872	ENSRNOP00000002155, ENSRNOP00000034124
ENOG410VE5F	Exosome component 5	ENSMUSP00000078580	ENSRNOP00000028026
ENOG410VE5A	chromosome 19 open reading frame 57	ENSMUSP00000113651	ENSRNOP00000029954
ENOG410VE5C	Sad1 and UNC84 domain containing 5	ENSMUSP00000028982	ENSRNOP00000029493
ENOG410VE5K	ribonuclease P MRP 38kDa subunit	ENSMUSP00000050992	ENSRNOP00000054664
ENOG410VE5J	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors	ENSMUSP00000015920	ENSRNOP00000006720, ENSRNOP00000062301
ENOG410V7A9	Rh blood group	ENSMUSP00000030627	ENSRNOP00000023187
ENOG410V7A7	vitamin D (1,25- dihydroxyvitamin D3) receptor	ENSMUSP00000023119	ENSRNOP00000011601
ENOG410V7A5	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSMUSP00000026432, ENSMUSP00000037113, ENSMUSP00000042199	ENSRNOP00000043328, ENSRNOP00000013152, ENSRNOP00000018246
ENOG410V7A4	Serine threonine kinase	ENSMUSP00000018353, ENSMUSP00000018476	ENSRNOP00000061873, ENSRNOP00000062778
ENOG410V7A3	thymocyte selection associated	ENSMUSP00000060129, ENSMUSP00000036945	ENSRNOP00000020102, ENSRNOP00000017340
ENOG410V7A2	TP53 regulating kinase	ENSMUSP00000115353, ENSMUSP00000045141	ENSRNOP00000046789, ENSRNOP00000050360
ENOG410V7A1	serine palmitoyltransferase, long chain base subunit	ENSMUSP00000048313, ENSMUSP00000021424	ENSRNOP00000016324, ENSRNOP00000005920
ENOG410V7A0	Pericentrin	ENSMUSP00000001179	ENSRNOP00000039329
ENOG410V7AM	Triose-phosphate isomerase	ENSMUSP00000130858	ENSRNOP00000020647, ENSRNOP00000067409
ENOG410V7AK	PaNtothenate Kinase	ENSMUSP00000119606, ENSMUSP00000018990, ENSMUSP00000043562	ENSRNOP00000063874, ENSRNOP00000056531, ENSRNOP00000036035
ENOG410V7AI	Suppressor of Ty 3 homolog (S. cerevisiae)	ENSMUSP00000050783	ENSRNOP00000027293
ENOG410V7AH	ADAM metallopeptidase with thrombospondin type 1, motif	ENSMUSP00000090143	ENSRNOP00000057209
ENOG410V7AG	Run and fyve domain containing	ENSMUSP00000031229, ENSMUSP00000020643, ENSMUSP00000113429	ENSRNOP00000020608, ENSRNOP00000035701, ENSRNOP00000004740, ENSRNOP00000035383
ENOG410V7AF	Tumor protein D52-like 1	ENSMUSP00000000305	ENSRNOP00000035722
ENOG410V7AE	Anoctamin	ENSMUSP00000125303, ENSMUSP00000043478, ENSMUSP00000113899, ENSMUSP00000097219, ENSMUSP00000050495, ENSMUSP00000071770, ENSMUSP00000046884	ENSRNOP00000033330, ENSRNOP00000006349, ENSRNOP00000028329, ENSRNOP00000049894
ENOG410V7AD	(DC) complex that phosphorylates and inhibits members of the retinoblastoma (RB) protein family including RB1 and regulates the cell-cycle during G(1) S transition. Phosphorylation of RB1 allows dissociation of the transcription factor E2F from the RB E2F complex and the subsequent transcription of E2F target genes which are responsible for the progression through the G(1) phase. Hypophosphorylates RB1 in early G(1) phase. Cyclin D-CDK4 complexes are major integrators of various mitogenenic and antimitogenic signals. Also substrate for SMAD3, phosphorylating SMAD3 in a cell-cycle-dependent manner and repressing its transcriptional activity. Component of the ternary complex, cyclin	ENSMUSP00000091495, ENSMUSP00000040488, ENSMUSP00000000188	ENSRNOP00000064704, ENSRNOP00000028411, ENSRNOP00000027084
ENOG410V7AC	chromosome 1 open reading frame 129	ENSMUSP00000094365	ENSRNOP00000004931
ENOG410V7AB	G protein-coupled receptor 97	ENSMUSP00000051079	ENSRNOP00000020062
ENOG410V7AA	dual adaptor of phosphotyrosine and 3-phosphoinositides	ENSMUSP00000029806	ENSRNOP00000014139
ENOG410V7AZ	acyl-Coenzyme A oxidase	ENSMUSP00000063325, ENSMUSP00000022271	ENSRNOP00000010260, ENSRNOP00000051538
ENOG410V7AX	pyruvate dehydrogenase complex	ENSMUSP00000011058, ENSMUSP00000034567	ENSRNOP00000066603, ENSRNOP00000032890
ENOG410V7AW	Olfactory receptor	ENSMUSP00000095814, ENSMUSP00000095817	ENSRNOP00000020952, ENSRNOP00000041128
ENOG410V7AV	Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner (By similarity)	ENSMUSP00000031099	ENSRNOP00000008930
ENOG410V7AU	glycosyltransferase 6 domain containing 1	ENSMUSP00000048642, ENSMUSP00000030585, ENSMUSP00000028243, ENSMUSP00000049408	ENSRNOP00000034274, ENSRNOP00000007851, ENSRNOP00000025983, ENSRNOP00000056765
ENOG410V7AT	THUMP domain containing 3	ENSMUSP00000032398	ENSRNOP00000009464, ENSRNOP00000041048
ENOG410V7AS	stem-loop binding protein	ENSMUSP00000062930	ENSRNOP00000047799
ENOG410V7AR	creb3 regulatory factor	ENSMUSP00000059102	ENSRNOP00000028186
ENOG410V7AQ	Ribosomal protein s6	ENSMUSP00000019379	ENSRNOP00000007350, ENSRNOP00000062125
ENOG410V7AP	Cbp p300-interacting transactivator, with Glu Asp-rich carboxy-terminal domain, 1	ENSMUSP00000051789	ENSRNOP00000004263
ENOG410VBWI	Disintegrin and metalloproteinase domain-containing protein	ENSMUSP00000112422	ENSRNOP00000055132
ENOG410VDB5	Lysophosphatidic acid receptor 5	ENSMUSP00000085630	ENSRNOP00000038032
ENOG410VDB4	Olfactory receptor	ENSMUSP00000095797, ENSMUSP00000040319	ENSRNOP00000021307
ENOG410VDB6	CD151 molecule (Raph blood group)	ENSMUSP00000032501, ENSMUSP00000061636	ENSRNOP00000007198, ENSRNOP00000026080, ENSRNOP00000066223
ENOG410VDB1	proline-rich transmembrane protein 3	ENSMUSP00000098620	ENSRNOP00000013154
ENOG410VDB0	mitochondrial ribosomal protein, S18A	ENSMUSP00000024763	ENSRNOP00000026499
